GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hamburgueria,com.lanchonete.pedido,Pedido,23,60,0,6,9,19,5,9,5,6
hamburgueria,com.lanchonete.entrega,Delivery,0,41,0,0,0,7,0,3,0,3
hamburgueria,com.lanchonete.entrega,DriveThrough,0,26,0,0,0,6,0,2,0,2
hamburgueria,com.lanchonete.entrega,Loja,0,26,0,0,0,6,0,2,0,2
hamburgueria,com.lanchonete.entrega.state,Preparando,19,3,0,0,8,1,4,1,4,1
hamburgueria,com.lanchonete.entrega.state,Entregue,17,0,0,0,8,0,5,0,5,0
hamburgueria,com.lanchonete.entrega.state,EmRota,22,0,0,0,9,0,5,0,5,0
hamburgueria,com.lanchonete.lanche,Hamburguer,0,7,0,0,0,3,0,3,0,3
hamburgueria,com.lanchonete.lanche.decorator,IngredientesExtraDecorator,8,13,0,2,2,5,2,2,2,1
hamburgueria,com.lanchonete.lanche.decorator,ExtraBacon,0,21,0,0,0,4,0,3,0,3
hamburgueria,com.lanchonete.lanche.decorator,ExtraQueijo,0,21,0,0,0,4,0,3,0,3
